symbol,config,cost_multiplier,trades,win_rate_pct,payoff,profit_factor,total_return_pct,cagr_pct,max_drawdown_pct,average_exposure_pct,gap_affected_positions,buy_hold_return_pct,exposure_scaled_buy_hold_return_pct,costs,candidate_signals,rejected_signals
BTCUSDT,D-1d-3R,1,7,57.142857142857146,2.1960707181839414,2.928094290911922,2.9741586498270856,0.4405859967021364,-1.445024624850566,0.6193280002412249,0,989.5108569622753,6.1283178025942675,10.81140142655758,10,3
BTCUSDT,D-1d-3R,2,7,57.142857142857146,2.1153144466067637,2.8204192621423516,2.8021227750673283,0.4153976398546977,-1.4329767156623818,0.604955185477257,0,986.899161075319,5.970297650356689,20.98560877628973,10,3
ETHUSDT,A-5min-2R,1,1738,33.1415420023015,1.4026489786214218,0.6952889945662126,-55.35990723213769,-11.394891184737743,-55.52943298147912,2.216430105639772,2,1805.957525159227,40.02778628269607,7057.1958762513,8539,6801
ETHUSDT,A-5min-2R,2,1006,32.10735586481113,1.1664321038192182,0.5516216245001574,-63.51467805569519,-14.035779905534662,-63.649334667141,1.7397957886952737,1,1801.388702923669,31.340484791498405,7304.333674153372,8539,7533
ETHUSDT,A-5min-3R,1,1685,26.587537091988132,1.903421925269778,0.6893557174784645,-54.78856724968002,-11.225703269916687,-54.96026303643985,2.571390525393823,2,1805.957525159227,46.43822069458113,6914.750320146558,8539,6854
ETHUSDT,A-5min-3R,2,1290,25.271317829457363,1.5432623839586561,0.5218916360690061,-72.84249680646462,-17.75992913204626,-72.96575142513828,2.3579111875606475,2,1801.388702923669,42.475145757690825,8438.766934898635,8539,7249
ETHUSDT,A-15min-2R,1,733,34.65211459754434,1.4972618371179145,0.7939551286596039,-25.709492782231923,-4.359905067549796,-27.540079796658024,2.3357391248673744,3,1805.957525159227,42.182456493630625,3497.5107531575604,3018,2285
ETHUSDT,A-15min-2R,2,596,33.89261744966443,1.2177022014358598,0.6243041743402123,-42.95479005411953,-8.07516110190496,-43.59678140080231,2.1464882471372,3,1801.388702923669,38.666596793513804,4895.263476429179,3018,2422
ETHUSDT,A-15min-3R,1,664,28.765060240963855,2.111241634581384,0.8525309771776837,-18.096236890983686,-2.94999135416123,-23.460077800707978,2.5357594718710947,3,1805.957525159227,45.79473900219391,3337.068712684039,3018,2354
ETHUSDT,A-15min-3R,2,625,28.16,1.7269869634575192,0.6769481193062882,-39.39321289478849,-7.236272968533197,-40.65229207769787,2.4403788088824143,3,1801.388702923669,43.960708171751,5362.875143356531,3018,2393
ETHUSDT,A-1h-2R,1,277,42.59927797833935,1.3023759432090112,0.9665431528217818,-2.194470703897855,-0.3322828212778406,-14.61065972617429,1.7199326802595984,2,1805.957525159227,31.061253666821006,1264.0967714625233,776,499
ETHUSDT,A-1h-2R,2,270,41.48148148148148,1.1452299262271806,0.8118085553002798,-11.987658558903346,-1.8971698955634997,-17.461757723811044,1.6119563086378204,2,1801.388702923669,29.037598839867083,2198.5379716953985,776,506
ETHUSDT,A-1h-3R,1,255,38.431372549019606,1.548935191907828,0.9668512662864149,-2.116846891135904,-0.3204215594872384,-12.75294410069343,1.8875488037779093,2,1805.957525159227,34.08832966288013,1174.889761817408,776,521
ETHUSDT,A-1h-3R,2,253,36.758893280632414,1.384964762707217,0.80501076832357,-12.446554676016962,-1.9740666503505921,-17.508284177058552,1.7872352464036794,2,1801.388702923669,32.19505382338588,2101.1647502821675,776,523
ETHUSDT,B-4h-2R,1,24,41.666666666666664,1.6740918948120074,1.1957799248657195,1.3477413200125632,0.20101277116848504,-2.903413912503061,0.5486047274440636,0,1805.957525159227,9.907568358655334,63.04162253188813,99,75
ETHUSDT,B-4h-2R,2,24,41.666666666666664,1.5338228359248585,1.0955877399463276,0.6564859173689763,0.09819924891862897,-2.850490238000969,0.5261612914265451,0,1801.388702923669,9.478210062915066,119.22568570724137,99,75
ETHUSDT,B-4h-3R,1,20,30,2.3208139294516896,0.9946345411935812,-0.03700648162644482,-0.005551845486551077,-2.9034641844509657,0.6402458693040909,0,1805.957525159227,11.56256845621834,53.1303651103934,99,79
ETHUSDT,B-4h-3R,2,20,30,2.1317414769130334,0.9136034901055857,-0.5943922423139125,-0.08938489553496076,-2.8503854710121734,0.6132297301472825,0,1801.388702923669,11.046651081842448,100.38406858096147,99,79
ETHUSDT,C-1d-partial,1,6,0,,0,-1.378887168246512,-0.2080555819784502,-2.193643984923188,0.3499674279588188,1,1805.957525159227,6.320263100828485,5.255365735763528,11,5
ETHUSDT,C-1d-partial,2,6,0,,0,-1.4059609503350279,-0.21216534187489255,-2.206285543594455,0.34606535584054277,1,1801.388702923669,6.233982224844132,10.331477929042872,11,5
ETHUSDT,D-4h-2R,1,23,39.130434782608695,1.8358887581897185,1.1802142016933903,1.2852956677961824,0.19174948124927038,-3.207666426810485,0.39989638241736125,0,1805.957525159227,7.221958811105856,67.1665503949852,32,9
ETHUSDT,D-4h-2R,2,23,39.130434782608695,1.7046184230728174,1.0958261291182396,0.680902712602216,0.1018410787698043,-3.1657073135571645,0.38160190379336045,0,1801.388702923669,6.874133585075242,126.67597213274591,32,9
ETHUSDT,D-4h-3R,1,21,28.571428571428573,2.9258193485259065,1.1703277394103626,1.230336060586401,0.1835926661906795,-3.20741413926221,0.4760111195770205,0,1805.957525159227,8.596558634595889,60.95921411604481,32,11
ETHUSDT,D-4h-3R,2,21,28.571428571428573,2.730821724032342,1.0923286896129367,0.6664329404412195,0.09968296445852509,-3.1660891251403034,0.4546058658650132,0,1801.388702923669,8.189218710520676,114.96723824987787,32,11
ETHUSDT,D-1d-2R,1,6,33.333333333333336,1.8848222458395931,0.9424111229197966,-0.11564488809880924,-0.017355265059271208,-0.9971010819337267,0.09687879094219674,0,1805.957525159227,1.7495898153038778,8.877726871025658,7,1
ETHUSDT,D-1d-2R,2,6,33.333333333333336,1.7906493448896883,0.8953246724448441,-0.21008600401304367,-0.03154107389095051,-0.9971906127478225,0.09435851561845988,0,1801.388702923669,1.699763640597402,17.275721937188614,7,1
ETHUSDT,D-1d-3R,1,5,40,2.830744168996014,1.8871627793306762,1.3489232202872126,0.20118804939770474,-1.024683610543231,0.19878400035307844,0,1805.957525159227,3.5899546131889646,7.690781339421082,7,2
ETHUSDT,D-1d-3R,2,5,40,2.705919573124085,1.803946382082723,1.2217309408885102,0.18231519890141712,-0.9973712821079062,0.19323023667795622,0,1801.388702923669,3.480827654149371,14.957969436409467,7,2
