trades,win_rate_pct,payoff,profit_factor,expectancy_cash,total_return_pct,average_exposure_pct,gap_affected_positions,candidate_signals,rejected_signals,costs,accounting_error,max_drawdown_pct,cagr_pct,config,cost_multiplier,worst_month_pct,worst_year_pct,longest_losing_streak,daily_time_underwater_max_days,turnover_over_mean_equity,daily_max_drawdown_pct,mean_net_r,bootstrap_draws,bootstrap_pf_undefined_draws,bootstrap_block_months,buy_hold_return_pct,exposure_scaled_buy_hold_return_pct
233,40.772532188841204,1.1397740257857079,0.7846270467365379,-4.153557531286555,-9.677789047897678,1.371174505402226,1,278,45,1256.6476470555062,-2.2737367544323206e-13,-13.914162629405913,-1.5152052850576636,H-1h-div-fixed1.5,1,-2.5823905659641544,-4.1454155348423445,9,1938,108.05449411375929,-13.65308172823373,-0.14210137614522014,2000.0,0.0,3.0,989.5108569622753,13.567920598853807
156,40.38461538461539,0.9664578025057362,0.654697221052273,-8.248889661907075,-12.868267872575089,1.0322814667019142,1,278,122,1566.3219501470985,-5.002220859751105e-12,-15.351844508801715,-2.0450353688505896,H-1h-div-fixed1.5,2,-2.9306068904255023,-3.7781351724818335,8,2265,69.15124819552162,-15.092245775570445,-0.19866409153777823,2000.0,0.0,3.0,986.899161075319,10.18757713481719
232,38.36206896551724,1.9146308293823495,1.191623383321882,3.51169361200741,8.14712917985716,1.7649456353036364,1,278,46,0.0,-2.5011104298755527e-12,-7.166294794652439,1.1817646262640036,H-1h-div-fixed2,0,-1.880783725304458,-1.9822686238294196,8,1695,109.43185908205756,-6.881070314224413,0.090213236827301,2000.0,0.0,3.0,992.1288240559036,17.510534376763964
234,36.324786324786324,1.5839362858139525,0.9035878140549394,-1.9749343494077023,-4.621346377613977,1.7269272508587339,1,278,44,1293.8985407511034,5.115907697472721e-12,-11.742771051166345,-0.7072181957855639,H-1h-div-fixed2,1,-2.336228808306451,-4.007453695942742,8,1938,108.48062750861301,-11.4751081866737,-0.09357148866880527,2000.0,0.0,3.0,989.5108569622753,17.08813263908732
189,37.03703703703704,1.2970695899612217,0.7629821117418951,-5.690167300991005,-10.754416198872917,1.501952664066822,1,278,89,1960.515425144739,8.640199666842818e-12,-14.954097070464456,-1.6921925398904247,H-1h-div-fixed2,2,-2.7791496407246097,-5.372003817914606,12,1938,85.26457344828042,-14.675821698372548,-0.152619611609559,2000.0,0.0,3.0,986.899161075319,14.82275824142387
248,46.37096774193548,1.0865754013473126,1.077208372025353,0.996289608777382,2.4707982297679676,0.9165694344423189,1,278,30,0.0,6.252776074688882e-12,-6.769075636630928,0.36678617037813055,H-1h-div-adaptive,0,-1.1900755737026758,-2.5433291077475384,5,2061,117.56876025104398,-6.396692279137461,0.04203382709439554,2000.0,0.0,3.0,992.1288240559036,9.093549551588424
250,40.8,0.8882395113346093,0.6863668951221981,-4.516688884249132,-11.2917222106229,0.881055668670767,1,278,28,1331.2982726557177,-7.275957614183426e-12,-13.60835266561422,-1.7812003648834729,H-1h-div-adaptive,1,-1.6690568127586625,-4.956778795806061,6,2061,116.29299838416848,-13.340923605940713,-0.15644080932807353,2000.0,0.0,3.0,989.5108569622753,8.718141497378811
239,32.63598326359833,0.7890347537034149,0.4334134562596223,-9.27789729652019,-22.17417453868318,0.8290783921190442,1,278,39,2351.465560121601,7.73070496506989e-12,-22.796633382556898,-3.6906259211857306,H-1h-div-adaptive,2,-2.335209238939906,-7.0234741942080685,14,2325,108.73015773830726,-22.709498219652357,-0.2833479192131931,2000.0,0.0,3.0,986.899161075319,8.18216769647959
115,43.47826086956522,1.4460565268203893,1.1123511744772225,2.7223744192701655,3.1307305821607123,1.5871647977769396,1,135,20,0.0,3.183231456205249e-12,-6.088424868264497,0.46347915347759727,H-4h-rsi-fixed1.5,0,-2.315096032363051,-1.9689425414959993,8,1965,44.497924608109734,-5.892208082549921,0.05294925412817046,2000.0,0.0,3.0,992.1288240559036,15.746719444013612
115,42.608695652173914,1.2664973441364018,0.9402783312527832,-1.4823322190907091,-1.704682051954276,1.5048805862784997,1,135,20,505.8448776978977,3.751665644813329e-12,-7.901395818814471,-0.2575745590493894,H-4h-rsi-fixed1.5,1,-2.343541283663697,-2.8249241405281955,8,1965,42.26029867384393,-7.7369294063045935,-0.03703119340436342,2000.0,0.0,3.0,989.5108569622753,14.890956785543295
113,43.36283185840708,1.0713408087094953,0.8202453066682074,-4.5100656685782425,-5.096374205493415,1.4178348248514485,1,135,22,917.8750036129503,2.2737367544323206e-13,-9.04300661020373,-0.7815539792916271,H-4h-rsi-fixed1.5,2,-2.3517168914094944,-3.2489197898693534,8,1965,38.91679693856454,-8.884270692809038,-0.09448012014949142,2000.0,0.0,3.0,986.899161075319,13.992599991892664
