config,cost_multiplier,trades,win_rate_pct,payoff,profit_factor,total_return_pct,cagr_pct,max_drawdown_pct,average_exposure_pct,gap_affected_positions,mean_net_r,worst_month_pct,worst_year_pct,longest_losing_streak,costs,point_target_status
F-1h-2R,0,254,33.07086614173228,1.9251350019734659,0.9512431774457125,-2.264560295892859,-0.3429996972187821,-7.721322172958223,1.537033666706252,1,-0.05308322503639792,-1.3136725290516127,-4.007670232986715,9,0,FAIL_OR_INSUFFICIENT
F-1h-2R,1,254,30.708661417322833,1.576759745925796,0.698791251035296,-15.685642604291028,-2.5267986150516286,-18.477923203434287,1.5097083635275006,1,-0.2202277501495657,-1.5932665173515992,-6.229791977660614,13,1349.9941465051304,FAIL_OR_INSUFFICIENT
F-1h-2R,2,222,28.82882882882883,1.3260068175555213,0.5371166855921098,-24.514330115544457,-4.130673358914539,-25.271556116612604,1.3274035670509976,1,-0.32888505943766005,-1.8341054731246809,-8.677880037593832,12,2193.746336390343,FAIL_OR_INSUFFICIENT
F-1h-3R,0,249,30.120481927710845,2.3550874972579146,1.0151239212318597,0.7298443203392679,0.10913858962593448,-8.356492272334338,1.7959049268841532,1,-0.00652347797607145,-2.4656616821115307,-3.7191560018053127,13,0,FAIL_OR_INSUFFICIENT
F-1h-3R,1,250,28,1.9544448656783966,0.7600618922082654,-13.024516079628324,-2.0714040029593095,-18.309930000727825,1.7908767404888901,1,-0.18528997005770337,-2.5957093469553216,-6.906598662077313,13,1376.2496882817823,FAIL_OR_INSUFFICIENT
F-1h-3R,2,244,26.639344262295083,1.599017293589907,0.5806487378957763,-24.385149252504455,-4.106081636180791,-27.146998398682054,1.7436742709887016,1,-0.3097412991026892,-2.675134117678657,-10.353483940974895,13,2463.9993532217845,FAIL_OR_INSUFFICIENT
G-4h-2R,0,135,38.51851851851852,1.7157144533414412,1.0749054406476501,3.019492581035821,0.4472175365253461,-8.94064932069314,2.90414043653607,0,0.039258766532796016,-2.8887367073960224,-2.735519005938847,7,0,FAIL_OR_INSUFFICIENT
G-4h-2R,1,135,37.77777777777778,1.5572741530443421,0.9454878786340648,-2.197248711292654,-0.3327074613769798,-11.44926242764811,2.72638240134353,0,-0.03612378316519817,-3.018727614698191,-4.877175198583905,7,557.1601059451194,FAIL_OR_INSUFFICIENT
G-4h-2R,2,136,36.029411764705884,1.4749342433776995,0.8307100910977848,-6.85566243602036,-1.0596439819902104,-14.12690565611845,2.5566847688687657,0,-0.10644016494569544,-3.1476462069866096,-7.121544712784522,7,1030.712574908451,FAIL_OR_INSUFFICIENT
G-4h-3R,0,126,37.301587301587304,2.01968428843699,1.2015843235004877,7.861316139160723,1.1416087716236811,-7.233338088458119,3.2017418846459713,1,0.11598096090634097,-2.889255890702247,-2.2462524105348325,7,0,FAIL_OR_INSUFFICIENT
G-4h-3R,1,126,35.714285714285715,1.9039674616366007,1.0577597009092226,2.2575974593641135,0.33543496249355265,-9.649890975332543,3.0061952771946587,1,0.03248305849393576,-3.0189518715884045,-4.319253207824303,7,541.7141829501069,FAIL_OR_INSUFFICIENT
G-4h-3R,2,127,33.07086614173228,1.7982495458803673,0.8885468344350052,-4.38420484040698,-0.6702262710702067,-12.108515347036263,2.8289304634775587,1,-0.07261737825128582,-3.1475749485256888,-6.507688753836582,7,987.6010075548775,FAIL_OR_INSUFFICIENT
G-1d-2R,0,27,40.74074074074074,1.596611356275692,1.0976703074395382,0.6362275085714186,0.09517708343584896,-2.168497314307427,0.7388046438056595,0,0.05053189643925155,-1.1514671008235777,-1.4248423521238673,5,0,FAIL_OR_INSUFFICIENT
G-1d-2R,1,27,40.74074074074074,1.502662157981135,1.0330802336120304,0.21657980207987482,0.032457107096495186,-2.2507397845358046,0.7179902599306706,0,0.019298255596306116,-1.1524998475073267,-1.5343333810499016,5,43.70741886148319,FAIL_OR_INSUFFICIENT
G-1d-2R,2,27,40.74074074074074,1.4155192130067784,0.9731694589421602,-0.17645370946973715,-0.026487927189755567,-2.4100029530495837,0.6984670068932747,0,-0.010180822563193859,-1.1532460887692997,-1.6357991389518767,5,84.59298374237714,FAIL_OR_INSUFFICIENT
G-1d-3R,0,26,42.30769230769231,1.5766096820506372,1.1561804335038006,0.9743463035713607,0.1455503457874041,-2.2045395887181463,0.7919137087075111,0,0.0785474046209291,-1.1514360238991772,-1.4246182516331474,5,0,FAIL_OR_INSUFFICIENT
G-1d-3R,1,26,42.30769230769231,1.483381811030884,1.087813328089315,0.5502618878718613,0.08234690817749968,-2.207422663512937,0.7692757365476895,0,0.04602573500943467,-1.1526028723229276,-1.5348907403526457,5,42.47681594067203,FAIL_OR_INSUFFICIENT
G-1d-3R,2,26,42.30769230769231,1.396815615403511,1.024331451295908,0.15311152479169365,0.02295179781313106,-2.2181494654907263,0.7482816715479311,0,0.015350988340476721,-1.1533358750862033,-1.6366811799432002,5,82.19892908496725,FAIL_OR_INSUFFICIENT
