model,forecast,lower,upper,quarter,history_end,actual,split
Historical mean,3.358043187,,,1995Q1,1994Q4,0.9800960027,validation
Random walk,0,,,1995Q1,1994Q4,0.9800960027,validation
ARIMA,2.967745249,-4.101306709,10.03679721,1995Q2,1995Q1,0.8589298171,validation
VAR,1.72335119,-5.037803278,8.484505658,1995Q2,1995Q1,0.8589298171,validation
VECM,1.72335119,-4.96650616,8.41320854,1995Q2,1995Q1,0.8589298171,validation
Historical mean,3.341529665,,,1995Q2,1995Q1,0.8589298171,validation
Random walk,0,,,1995Q2,1995Q1,0.8589298171,validation
ARIMA,2.45373427,-4.599135396,9.506603936,1995Q3,1995Q2,3.347755385,validation
VAR,3.190461066,-3.548164372,9.929086503,1995Q3,1995Q2,3.347755385,validation
VECM,3.190461066,-3.477600905,9.858523036,1995Q3,1995Q2,3.347755385,validation
Historical mean,3.324408287,,,1995Q3,1995Q2,3.347755385,validation
Random walk,0,,,1995Q3,1995Q2,3.347755385,validation
ARIMA,3.009963535,-4.020242213,10.04016928,1995Q4,1995Q3,2.779192494,validation
VAR,3.313999083,-3.400906151,10.02890432,1995Q4,1995Q3,2.779192494,validation
VECM,3.313999083,-3.33107855,9.959076715,1995Q4,1995Q3,2.779192494,validation
Historical mean,3.324568198,,,1995Q4,1995Q3,2.779192494,validation
Random walk,0,,,1995Q4,1995Q3,2.779192494,validation
ARIMA,3.213314562,-3.793035833,10.21966496,1996Q1,1995Q4,2.730689119,validation
VAR,2.920415251,-3.77154027,9.612370772,1996Q1,1995Q4,2.730689119,validation
VECM,2.920415251,-3.702430444,9.543260945,1996Q1,1995Q4,2.730689119,validation
Historical mean,3.32085816,,,1996Q1,1995Q4,2.730689119,validation
Random walk,0,,,1996Q1,1995Q4,2.730689119,validation
ARIMA,3.122739739,-3.860322107,10.10580159,1996Q2,1996Q1,6.856046186,validation
VAR,3.362832069,-3.305918496,10.03158263,1996Q2,1996Q1,6.856046186,validation
VECM,3.362832069,-3.237519246,9.963183384,1996Q2,1996Q1,6.856046186,validation
Historical mean,3.316870531,,,1996Q2,1996Q1,6.856046186,validation
Random walk,0,,,1996Q2,1996Q1,6.856046186,validation
ARIMA,4.071541986,-2.913655213,11.05673918,1996Q3,1996Q2,3.464344212,validation
VAR,3.776144457,-2.893673913,10.44596283,1996Q3,1996Q2,3.464344212,validation
VECM,3.776144457,-2.825728321,10.37801723,1996Q3,1996Q2,3.464344212,validation
Historical mean,3.340623388,,,1996Q3,1996Q2,3.464344212,validation
Random walk,0,,,1996Q3,1996Q2,3.464344212,validation
ARIMA,3.85573114,-3.106826545,10.81828882,1996Q4,1996Q3,4.342673362,validation
VAR,2.704069161,-3.943057919,9.351196241,1996Q4,1996Q3,4.342673362,validation
VECM,2.704069161,-3.875800265,9.283938587,1996Q4,1996Q3,4.342673362,validation
Historical mean,3.341448193,,,1996Q4,1996Q3,4.342673362,validation
Random walk,0,,,1996Q4,1996Q3,4.342673362,validation
ARIMA,3.600949823,-3.338943517,10.54084316,1997Q1,1996Q4,3.064688176,validation
VAR,3.162740578,-3.466987321,9.792468477,1997Q1,1996Q4,3.064688176,validation
VECM,3.162740578,-3.400355199,9.725836355,1997Q1,1996Q4,3.064688176,validation
Historical mean,3.348078823,,,1997Q1,1996Q4,3.064688176,validation
Random walk,0,,,1997Q1,1996Q4,3.064688176,validation
ARIMA,3.429930645,-3.487609585,10.34747088,1997Q2,1997Q1,5.887047103,validation
VAR,3.582100427,-3.025210516,10.18941137,1997Q2,1997Q1,5.887047103,validation
VECM,3.582100427,-2.959245693,10.12344655,1997Q2,1997Q1,5.887047103,validation
Historical mean,3.346214411,,,1997Q2,1997Q1,5.887047103,validation
Random walk,0,,,1997Q2,1997Q1,5.887047103,validation
